2, 1, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, -0.117868, -0.108801, -0.154135, -0.0725343, -0.163202, -0.172269, -0.0906679, 8.99426, -0.0997347, -0.0906679, 1, 0.013, 0.012, 0.017, 0.008, 0.018, 0.019, 0.01, 0.008, 0.011, 0.01, 4, 0.0275732, 
3, 1, 12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, -0.331622, -0.312992, -0.272005, 3.44664, -0.335349, -0.253374, -0.283183, -0.234744, -0.21984, -0.249648, 1, 0.089, 0.084, 0.073, 0.075, 0.09, 0.068, 0.076, 0.063, 0.059, 0.067, 5, 0.0536755, 
3, 1, 28, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, -0.194244, -0.138745, -0.155395, 5.39442, 5.28897, -0.194244, -0.177594, -0.227542, -0.216443, -0.160945, 1, 0.035, 0.025, 0.028, 0.028, 0.047, 0.035, 0.032, 0.041, 0.039, 0.029, 4, 0.0450465, 
3, 2, 20, 1, 3, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0.571358, 3.23634, -0.87257, -0.778019, 0.53759, 0.532187, -0.745602, -0.764512, 0.607828, 0.509224, 1, 0.577, 0.604, 0.646, 0.576, 0.602, 0.606, 0.552, 0.566, 0.55, 0.623, 130, 0.00569493, 
2, 2, 21, 3, 2, 3, 6, 2, 2, 8, 4, 0, 5, 1, 0.344384, -0.258935, 0.326905, 2.29481, -0.354094, -0.262819, 3.57266, 0.973596, -1.65654, 1.61446, 1, 2.468, 2.4, 2.495, 2.455, 2.547, 2.406, 2.481, 2.496, 2.559, 2.506, 186, 0.00830532, 
3, 2, 29, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, -0.276706, -0.243939, -0.283988, -0.280347, 3.33504, -0.313115, -0.309474, -0.273066, -0.313115, -0.276706, 1, 0.076, 0.067, 0.078, 0.077, 0.084, 0.086, 0.085, 0.075, 0.086, 0.076, 49, 0.00560529, 
1, 2, 30, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, -0.192935, -0.166863, -0.219007, -0.146005, 5.04238, -0.19815, -0.177292, -0.187721, 5.03717, -0.265938, 1, 0.037, 0.032, 0.042, 0.028, 0.033, 0.038, 0.034, 0.036, 0.034, 0.051, 59, 0.00325041, 
2, 2, 32, 1, 1, 0, 0, 2, 3, 0, 0, 2, 0, 1, 0.83554, 0.821793, -0.655296, -0.70723, 2.35082, 3.89664, -0.644603, -0.734725, 2.38748, -0.681263, 1, 0.453, 0.462, 0.429, 0.463, 0.461, 0.449, 0.422, 0.481, 0.437, 0.446, 136, 0.00481372, 
1, 2, 34, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3.36106, -0.298361, -0.280388, -0.280388, -0.323524, -0.31274, 3.30714, -0.233656, -0.330714, -0.305551, 1, 0.065, 0.083, 0.078, 0.078, 0.09, 0.087, 0.08, 0.065, 0.092, 0.085, 69, 0.00403168, 
2, 2, 47, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, -0.373608, -0.426981, -0.37615, 2.1654, -0.432064, 4.69425, -0.421898, -0.393941, -0.449855, -0.388858, 1, 0.147, 0.168, 0.148, 0.148, 0.17, 0.153, 0.166, 0.155, 0.177, 0.153, 140, 0.00281043, 
3, 2, 49, 1, 2, 8, 2, 2, 0, 1, 5, 1, 3, 1, -0.868862, -0.237252, 3.61093, -0.243612, -0.318032, -1.54245, -0.98399, 1.56472, -0.968724, 0.273507, 1, 2.366, 2.373, 2.323, 2.383, 2.5, 2.425, 2.547, 2.54, 2.523, 2.57, 186, 0.00845253, 
3, 2, 50, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 6.07715, 2.93708, 2.93073, -0.333038, -0.269602, -0.202994, -0.304492, -0.326694, -0.272774, -0.260087, 1, 0.084, 0.074, 0.076, 0.105, 0.085, 0.064, 0.096, 0.103, 0.086, 0.082, 40, 0.00788199, 
3, 3, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, -0.171299, 5.18716, -0.165946, -0.176652, -0.208771, -0.22483, -0.219477, -0.160593, -0.219477, -0.198065, 1, 0.032, 0.031, 0.031, 0.033, 0.039, 0.042, 0.041, 0.03, 0.041, 0.037, 39, 0.00478994, 
